index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
150, ada amin rasis nada amat dani nada ratna si paiiit nada si onta nada si lobang anus njdi jngan takut wo wo nkehabisan obat penenang yh ,1,1,1,0,0,0,0,0,1,1,0,0
151, tunggu komando imam bejat cabul taik beer xf0 x9f x8d xba n nape2 bawa ulama ndasar banj sempak ,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet berantakan npemecah belah persatuan hanya ad di rezim ini ,1,0,0,1,0,0,0,0,1,0,1,0
153,dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja k xc3 xa6k orang bego ckakakakak ,1,1,1,0,0,0,1,0,0,1,0,0
154, pdiperjuanganmenang dengan menekan perusahaan tambang dgn target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajingan ,1,1,0,1,0,0,0,0,1,0,1,0
155, ga caya sama mulut buaya mu bwang ,1,1,1,0,0,0,0,0,1,1,0,0
156,2019 jika sby prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby tp jk jkw mega sby melawan prabowo mk pilpres selesai sudah jk 3 poros di pilpres mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
157, jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presidens 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal ,0,0,0,0,0,0,0,0,0,0,0,0
159,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously ,0,0,0,0,0,0,0,0,0,0,0,0
160, umuh gt persib npersib kunyuk n xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,1,1,0,1,0,0,0,0,1,0,1,0
161, buat film muslim pilih ahok mati nggak di sholatin dijamin laris ,1,0,1,0,0,0,0,0,1,1,0,0
162,tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah ,0,0,0,0,0,0,0,0,0,0,0,0
163, eh kenapa muka merah2 tu tak dpt cendol ke bukan la setan cuaca skrg ni panas ,0,1,0,0,0,0,0,0,0,0,0,0
164,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi seberulnya itu media menumpahkan sakit hati katak dan cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhabinkamtibmas brigpol mbs sihombing pd hari ini rabu 11 april 2018 melaks sambang desa dan tatap muka sekaligus monitoring kamtibmas menuju pilkada 2018 di desa lobusiregar i tepatnya dirumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,syg bgt ya ngeliat perempuan kyk gini gak ada status apa2 tp udah nemplok sm laki laki sana sini haduh nnagita slavina blak blakan sebut ayu ting ting kampungan xe2 x80 x93 viva url,0,1,0,0,0,0,0,0,0,0,0,0
167, jgn lupa juga kang umat katolik dan minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan ,0,0,0,0,0,0,0,0,0,0,0,0
168, kan ane bukan cebong udeh dibilangin dari maren masih ngeyel nsitu maksa ane jadi cebong ,1,1,1,0,0,0,0,0,1,1,0,0
169, kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadlizon spt durno ,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini ,0,0,0,0,0,0,0,0,0,0,0,0
171,foto memang bisu tpi memiliki banyak arti yg sush diartikan sma seperti kamu susah diartikan mau putus atau lanjut ,0,0,0,0,0,0,0,0,0,0,0,0
172, wakakakaka aku sudah mengalaminya xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 tetiba muncul grub wa a n bani abd hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 ,0,0,0,0,0,0,0,0,0,0,0,0
173,abam pres badar n nuqaba pling boekkk dia ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu ,0,0,0,0,0,0,0,0,0,0,0,0
174, seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham tun abdul razak ds malaysiamemilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175, hahaha sialaaan nih si ternyata klo lg laper presiden juga mau disikat sama doi ,0,0,0,0,0,0,0,0,0,0,0,0
176, mau menasehati kali supaya ga ugal2an nih rezim eh tapi ini negeri sdh keburu ancor nah skrg saja ekonomi morat marit kacaoooooo ,1,0,1,0,0,0,0,0,1,1,0,0
177, aelaah silit kebeler ngapa dikasianin org makin sayang saya pak nsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarin ntar gw ceritain duuuhhh xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f x98 x85 ,0,1,0,0,0,0,0,0,0,0,0,0
178, iya tdi cacad ,0,0,0,0,0,0,0,0,0,0,0,0
